Red,redProductName,redProductPrice,redProductLink,redProductImage,Yellow & Orange,yellowProductName,yellowProductPrice,yellowProductLink,yellowProductImage,"White, Tan & Brown",whiteProductName,whiteProductPrice,whiteProductLink,yellowProductImage,Green,greenProductName,greenProductPrice,greenProductLink,greenProductImage,Blue & Purple,blueProductName,blueProductPrice,blueProductLink,blueProductImage,Recipes
Red Potatoes,,,,,Yellow Watermelon,,,,,Turnips,,,,,Chayote Squash,,,,,Purple Peppers,,,,,"Total time: 30 mins , Serves: 4-5

Turnip Chayote Curry
Ingredients: 
Turnip - 1 - small - cubed
Chayote - cubed - 1 cup
Cabbage - chopped - 1 cup
Onion - 1/2 cup - chopped
Tomato - 1 - chopped
Garlic paste - 1/2 tbsp
Turmeric powder - a pinch
Chilli powder - 1/2 tsp
Coriander powder - 1 tsp
Cumin seeds - 1/2 tsp
Mustard seeds - 1/2 tsp
Oil - 2 tsp
Salt - to taste

Instructions:
Heat oil and add mustard seeds and cumin seeds. When the mustard seeds pop, add the onion and saute until translucent. Add the garlic paste and tomato. When the tomato becomes mushy, reduce the heat and add the turmeric powder, chilli powder and coriander powder. Fry until the oil starts leaving the sides of the pan. Now add salt and the cut vegetables. Fry for 4 to 5 mins and add 3 cups of water. Cover and cook until the vegetables are done and soft, about 15 mins. Now check for seasoning and cook open until the desired thickness is arrived. Serve hot with roti/chapathi/bread.

Source: https://krithiskitchen.blogspot.com/2011/02/turnip-chayote-curry.html"
Rhubarb,,,,,Yellow Beets,,,,,White Corn,,,,,Cucumbers,,,,,Purple Potatoes,,,,,"Total time: 30 mins, Serves: 6

Singapore Rojak with Kiwi
Ingredients:
For the sauce:
6 tbsps black prawn paste
4 tbsps tamarind paste, mixed with 3 tbsp hot water and drained, seeds picked out and discarded
peel of ½ calamansi lime, finely minced
1 packed tbsp torch ginger bud (aka rojak flower), finely minced
4 tbsp sugar (I used 5)
1/2 tsp sambal belachan (chilli paste) (I added)
½ cup toasted peanuts (80 g), skinless, and coarsely ground (I didn't use)

Local turnip, peeled and sliced
Cucumber, sliced
Pineapple, peeled and sliced
Green mango, peeled and sliced
Yu tiao (Chinese dough fritters) toasted til crisp, cut
Taupok (beancurd puff) toasted til crisp, cut

Instructions:
To make rojak sauce, thoroughly mix all ingredients except peanuts. When sugar is melted, add all of ground peanuts (if using) except 2 tbsp and stir till evenly mixed. You should have 1 cup of sticky sauce that's as thick as peanut butter. Taste and adjust if necessary
Toss everything, adding dough fritters and beancurd puffs towards the end so that they don't turn soggy. Plate and sprinkle with remaining peanuts, if using. Serve immediately.

Source: https://iloveicookibake.blogspot.com/2013/08/singapore-rojak-with-zespri-kiwi.html"
Tomatoes,,,,,Butternut Squash,,,,,Leeks,,,,,Endive,,,,,Black beans,,,,,"Total time: 20 mins, Serves: 4

Chickpea and Tomato Curry
Ingredients:
Chickpeas, drained, 2 cans
Tomato, chopped, 2 medium
Tomato puree, 2 tbsp
Onion, chopped, 1 medium
Ginger, minced, 1 tbsp
Curry powder, 1½ tbsp
Rice bran oil, 2 tbsp
Salt, To taste

Instructions: 
Heat oil in a frying pan.
Add ginger, onion and curry powder to pan. Stir frequently until onion turns golden brown.
Add in chickpeas, chopped tomatoes, tomato puree and ½ cup of water.
Reduce heat and simmer for 10 minutes until sauce thickens.
Serve with rice or bread.

Source: https://www.myheart.org.sg/recipes/chickpea-and-tomato-curry/ 
"
Pink Guava,,,,,Carrots,,,,,Daikon radish,,,,,Kale,,,,,Black lentils,,,,,"Total time: 45 mins, Serves: 4

Lentil and vegetable soup with crusty bread
Ingredients: 
Spray cooking oil
1 large red onion, finely diced
2 sticks celery, trimmed, diced
2 cloves garlic, peeled, finely diced
1 teaspoon ground turmeric
1 teaspoon ground cumin
1 medium sweet potato, peeled, cut into small cubes
4 medium sized tomatoes, roughly chopped
600 g canned no added salt brown lentils, drained, rinsed
300 ml reduced salt vegetable stock (see tips)
700 ml water
3 cups baby spinach leaves
1 tablespoon parsley, roughly chopped, to serve
4 slices crusty multigrain bread, toasted, to serve

Instructions:
Step 1 - Place a large pot over medium heat and spray with olive oil. Cook onion, celery and garlic and cook for 1-2 minutes, or until just softened.
Step 2 - Add the spices to the pan and cook for another 1-2 minutes until fragrant.
Step 3 - Add sweet potato, tomatoes, lentils, vegetable stock and water to the pot and bring to the boil. Reduce heat and simmer, partially covered, for 20-25 minutes or until sweet potato is tender, cooked through and soup has thickened. Stir through spinach.
Step 4 - Divide the soup between 4 bowls and serve with chopped parsley, cracked pepper and grainy bread.

Source: https://www.heartfoundation.org.au/recipes/lentil-and-vegetable-soup-with-crusty-bread"
Dragonfruit red,,,,,Yellow Peppers,,,,,Guava,,,,,Shanghai green,,,,,Purple sweet potato,,,,,"Total time: 45 mins, Serves: 4

Lentil and vegetable soup with crusty bread
Ingredients: 
Spray cooking oil
1 large red onion, finely diced
2 sticks celery, trimmed, diced
2 cloves garlic, peeled, finely diced
1 teaspoon ground turmeric
1 teaspoon ground cumin
1 medium sweet potato, peeled, cut into small cubes
4 medium sized tomatoes, roughly chopped
600 g canned no added salt brown lentils, drained, rinsed
300 ml reduced salt vegetable stock (see tips)
700 ml water
3 cups baby spinach leaves
1 tablespoon parsley, roughly chopped, to serve
4 slices crusty multigrain bread, toasted, to serve

Instructions:
Step 1 - Place a large pot over medium heat and spray with olive oil. Cook onion, celery and garlic and cook for 1-2 minutes, or until just softened.
Step 2 - Add the spices to the pan and cook for another 1-2 minutes until fragrant.
Step 3 - Add sweet potato, tomatoes, lentils, vegetable stock and water to the pot and bring to the boil. Reduce heat and simmer, partially covered, for 20-25 minutes or until sweet potato is tender, cooked through and soup has thickened. Stir through spinach.
Step 4 - Divide the soup between 4 bowls and serve with chopped parsley, cracked pepper and grainy bread.

Source: https://www.heartfoundation.org.au/recipes/lentil-and-vegetable-soup-with-crusty-bread"
Red cabbage,,,,,Yellow Potatoes,,,,,Chickpeas,,,,,Leeks,,,,,Brinjal,,,,,"Total time: 20 mins, Serves: 4

Chickpea and Tomato Curry
Ingredients:
Chickpeas, drained, 2 cans
Tomato, chopped, 2 medium
Tomato puree, 2 tbsp
Onion, chopped, 1 medium
Ginger, minced, 1 tbsp
Curry powder, 1½ tbsp
Rice bran oil, 2 tbsp
Salt, To taste

Instructions: 
Heat oil in a frying pan.
Add ginger, onion and curry powder to pan. Stir frequently until onion turns golden brown.
Add in chickpeas, chopped tomatoes, tomato puree and ½ cup of water.
Reduce heat and simmer for 10 minutes until sauce thickens.
Serve with rice or bread.

Source: https://www.myheart.org.sg/recipes/chickpea-and-tomato-curry/ 
"
Red beans,,,,,Pumpkin,,,,,Black eye beans,,,,,Lettuce,,,,,Black lentils,,,,,"Total time: 45 mins, Serves: 4

Lentil and vegetable soup with crusty bread
Ingredients: 
Spray cooking oil
1 large red onion, finely diced
2 sticks celery, trimmed, diced
2 cloves garlic, peeled, finely diced
1 teaspoon ground turmeric
1 teaspoon ground cumin
1 medium sweet potato, peeled, cut into small cubes
4 medium sized tomatoes, roughly chopped
600 g canned no added salt brown lentils, drained, rinsed
300 ml reduced salt vegetable stock (see tips)
700 ml water
3 cups baby spinach leaves
1 tablespoon parsley, roughly chopped, to serve
4 slices crusty multigrain bread, toasted, to serve

Instructions:
Step 1 - Place a large pot over medium heat and spray with olive oil. Cook onion, celery and garlic and cook for 1-2 minutes, or until just softened.
Step 2 - Add the spices to the pan and cook for another 1-2 minutes until fragrant.
Step 3 - Add sweet potato, tomatoes, lentils, vegetable stock and water to the pot and bring to the boil. Reduce heat and simmer, partially covered, for 20-25 minutes or until sweet potato is tender, cooked through and soup has thickened. Stir through spinach.
Step 4 - Divide the soup between 4 bowls and serve with chopped parsley, cracked pepper and grainy bread.

Source: https://www.heartfoundation.org.au/recipes/lentil-and-vegetable-soup-with-crusty-bread"
Red lentils,,,,,Yellow Summer Squash,,,,,Guava,,,,,Okra,,,,,Purple Potatoes,,,,,"Total time: 30 mins, Serves: 5

Spiced Okra and Purple Potato Sauté
Ingredients:
2 medium purple potatoes, diced
2 cups fresh okra, sliced into 1/2 inch pieces
1 small onion, diced
2 cloves garlic, minced
1 tablespoon oil
1 teaspoon cumin seeds
1/2 teaspoon turmeric
1/2 teaspoon chili powder (adjust to taste)
Salt to taste
Fresh cilantro for garnish (optional)

Instructions: 
Heat oil in a large skillet over medium heat. Add cumin seeds and let them sizzle for about 30 seconds.
Add diced onion and sauté until translucent, about 3-4 minutes. Add minced garlic and cook for another minute.
Add the diced purple potatoes to the pan. Cover and cook for about 7-10 minutes, stirring occasionally, until the potatoes are nearly tender.
Add the sliced okra, turmeric, chili powder, and salt. Stir to combine and cook uncovered for about 5-7 minutes, stirring occasionally.
Continue cooking until both the potatoes and okra are tender and slightly crispy on the edges. Be careful not to overcook the okra to avoid it becoming slimy.
Taste and adjust seasoning if needed. Garnish with fresh cilantro if desired."
Red cabbage,,,,,Corn,,,,,Daikon radish,,,,,Peas,,,,,Purple Belgian Endive,,,,,"Total time: 25 mins, Serves 4

Cabbage and glass noodles
Ingredients:
1 package mung bean vermicelli
(50g/1.75oz)
1 pound green cabbage (preferably Taiwanese cabbage; about 1/2 of a small to medium cabbage)
2 eggs
1/4 teaspoon salt
1/2 teaspoon sesame oil
1 tablespoon shaoxing wine (plus 1 teaspoon)
3 tablespoons vegetable oil
3-5 dried red chilis (break them open if you want more heat)
2 cloves garlic (chopped)
1 scallion (chopped)
1 teaspoon oyster sauce (or vegetarian oyster sauce)
1/2 teaspoon sugar
1 tablespoon soy sauce
1/8 teaspoon white pepper

Instructions:
Soak the mung bean vermicelli noodles for about 10 minutes until soft. Cut the bundle in half to shorten the noodle lengths, and set them aside (still in the soaking water). Prep the cabbage by slicing it into 1/2-inch thick strips.
Beat the eggs along with the salt, sesame oil and 1 teaspoon Shaoxing wine. Heat a wok over high heat until lightly smoking. Add 1 tablespoon oil, and the eggs quickly after. Scramble them for 20-30 seconds, until they’re just almost done (they can still be a bit runny). Take the eggs out of the wok and set aside.
Heat the 2 remaining tablespoons of oil in the wok over medium-high heat. Add the chili, garlic, and scallion. Cook for 30 seconds, until fragrant. Before the peppers and garlic start to turn brown, add the cabbage, and increase the heat to high. Stir-fry for 2 minutes, until the cabbage is wilted.
Pull the noodles out of the soaking water, and add them to the cabbage. Then add the cooked egg and the 1 remaining tablespoon of shaoxing wine. Stir-fry, then add the oyster sauce, soy sauce, sugar, and white pepper. Stir everything together and continue to stir-fry for another 2 minutes or so, until the noodles are tender (add a splash of water if the noodles look dry). Plate and serve!

Source: https://thewoksoflife.com/cabbage-and-glass-noodle-stir-fry/"
Pink Guava,,,,,Sweet Potatoes,,,,,White corn,,,,,Green Peppers,,,,,Purple Carrots,,,,,"Total time: 45 mins, Serves: 4

Lentil and vegetable soup with crusty bread
Ingredients: 
Spray cooking oil
1 large red onion, finely diced
2 sticks celery, trimmed, diced
2 cloves garlic, peeled, finely diced
1 teaspoon ground turmeric
1 teaspoon ground cumin
1 medium sweet potato, peeled, cut into small cubes
4 medium sized tomatoes, roughly chopped
600 g canned no added salt brown lentils, drained, rinsed
300 ml reduced salt vegetable stock (see tips)
700 ml water
3 cups baby spinach leaves
1 tablespoon parsley, roughly chopped, to serve
4 slices crusty multigrain bread, toasted, to serve

Instructions:
Step 1 - Place a large pot over medium heat and spray with olive oil. Cook onion, celery and garlic and cook for 1-2 minutes, or until just softened.
Step 2 - Add the spices to the pan and cook for another 1-2 minutes until fragrant.
Step 3 - Add sweet potato, tomatoes, lentils, vegetable stock and water to the pot and bring to the boil. Reduce heat and simmer, partially covered, for 20-25 minutes or until sweet potato is tender, cooked through and soup has thickened. Stir through spinach.
Step 4 - Divide the soup between 4 bowls and serve with chopped parsley, cracked pepper and grainy bread.

Source: https://www.heartfoundation.org.au/recipes/lentil-and-vegetable-soup-with-crusty-bread"
Rhubarb,,,,,Yellow Tomatoes,,,,,Shallots,,,,,Snow Peas,,,,,Purple Asparagus,,,,,"Total time: 20 mins, Serves: 4

Chickpea and Tomato Curry
Ingredients:
Chickpeas, drained, 2 cans
Tomato, chopped, 2 medium
Tomato puree, 2 tbsp
Onion, chopped, 1 medium
Ginger, minced, 1 tbsp
Curry powder, 1½ tbsp
Rice bran oil, 2 tbsp
Salt, To taste

Instructions: 
Heat oil in a frying pan.
Add ginger, onion and curry powder to pan. Stir frequently until onion turns golden brown.
Add in chickpeas, chopped tomatoes, tomato puree and ½ cup of water.
Reduce heat and simmer for 10 minutes until sauce thickens.
Serve with rice or bread.

Source: https://www.myheart.org.sg/recipes/chickpea-and-tomato-curry/ 
"
Red Onions,,,,,Yellow zucchini,,,,,Parsnips,,,,,Spinach,,,,,Raisins,,,,,"Total time: 45 mins, Serves: 4

Lentil and vegetable soup with crusty bread
Ingredients: 
Spray cooking oil
1 large red onion, finely diced
2 sticks celery, trimmed, diced
2 cloves garlic, peeled, finely diced
1 teaspoon ground turmeric
1 teaspoon ground cumin
1 medium sweet potato, peeled, cut into small cubes
4 medium sized tomatoes, roughly chopped
600 g canned no added salt brown lentils, drained, rinsed
300 ml reduced salt vegetable stock (see tips)
700 ml water
3 cups baby spinach leaves
1 tablespoon parsley, roughly chopped, to serve
4 slices crusty multigrain bread, toasted, to serve

Instructions:
Step 1 - Place a large pot over medium heat and spray with olive oil. Cook onion, celery and garlic and cook for 1-2 minutes, or until just softened.
Step 2 - Add the spices to the pan and cook for another 1-2 minutes until fragrant.
Step 3 - Add sweet potato, tomatoes, lentils, vegetable stock and water to the pot and bring to the boil. Reduce heat and simmer, partially covered, for 20-25 minutes or until sweet potato is tender, cooked through and soup has thickened. Stir through spinach.
Step 4 - Divide the soup between 4 bowls and serve with chopped parsley, cracked pepper and grainy bread.

Source: https://www.heartfoundation.org.au/recipes/lentil-and-vegetable-soup-with-crusty-bread"
Radishes,,,,,Passionfruit yellow,,,,,Mushrooms,,,,,Sugar Snap Peas,,,,,Purple Grapes,,,,,"Total time: 20 mins, Serves: 4

Sugar snap pea and mushroom saute
Ingredients:
2 tablespoons vegetable oil
10 ounces cremini mushrooms, trimmed and sliced
10 ounces sugar snap peas, trimmed (about 3 cups)
3 large scallions, white and light green parts, cut into 2-inch pieces (about 1 1/2 cups)
4 cloves garlic, minced
2 tablespoons low-sodium soy sauce
Crushed red pepper for garnish, optional

Instructions:
Warm oil in a large skillet over medium-high heat until shimmering. Add mushrooms, snap peas and scallions and cook, stirring constantly, until snap peas are bright green and mushrooms have released their liquid, 3 to 4 minutes. Add garlic and cook, stirring, until golden, about 30 seconds.

Add soy sauce and cook for 3 to 4 minutes more, stirring, until snap peas are crisp-tender. Sprinkle with red pepper, if desired. Serve.

Source: https://www.myrecipes.com/recipe/sugar-snap-pea-mushroom-saute"
Beets,,,,,Donut peaches,,,,,Artichokes,,,,,Watercress,,,,,Elderberries,,,,,"Total time: 30 mins, Serves 2- 4, 

Vietnamese-Style Sauteed Artichokes
Ingredients:
Juice of 1 lemon
6 small artichokes
2 cloves garlic
1 tablespoon fish sauce
2 1/2 teaspoons lemon juice, plus 1 teaspoon lemon zest, or more to taste
3 tablespoons sunflower or other neutral oil
1 to 2 bird’s eye chilies, minced, to taste
3/4 teaspoon ground black pepper
2 large spring onions, cut into quarters
3 tablespoons minced fresh dill

Instructions:
Squeeze the juice of one lemon into a bowl, and add about 1 cup water. Mix to combine.
Remove the leaves from the artichokes, cut lengthwise into quarters, and remove the choke, if necessary. Immediately put into the bowl of lemon juice-water, tossing to coat, to keep them from turning brown.
Peel and finely mince the garlic. Mix it with the fish sauce, 2 1/2 teaspoons lemon juice, and lemon zest. Set aside.
Drain artichokes. Add sunflower oil to a saute pan over high heat, and saute artichokes for 6 to 10 minutes, until golden brown. Add pepper, chiles, and spring onions 1 minute before the end of cooking, then drain off any excess oil, if necessary. Deglaze pan with garlic-fish sauce-lemon juice mixture. Garnish with dill, and serve.

Source: https://www.foodgal.com/2022/03/vietnamese-style-sauteed-artichokes/"
Strawberries,,,,,Yellow lentils,,,,,Garlic,,,,,Zucchini,,,,,Concord Grapes,,,,,"Total time: 45 mins, Serves: 4

Lentil and vegetable soup with crusty bread
Ingredients: 
Spray cooking oil
1 large red onion, finely diced
2 sticks celery, trimmed, diced
2 cloves garlic, peeled, finely diced
1 teaspoon ground turmeric
1 teaspoon ground cumin
1 medium sweet potato, peeled, cut into small cubes
4 medium sized tomatoes, roughly chopped
600 g canned no added salt brown lentils, drained, rinsed
300 ml reduced salt vegetable stock (see tips)
700 ml water
3 cups baby spinach leaves
1 tablespoon parsley, roughly chopped, to serve
4 slices crusty multigrain bread, toasted, to serve

Instructions:
Step 1 - Place a large pot over medium heat and spray with olive oil. Cook onion, celery and garlic and cook for 1-2 minutes, or until just softened.
Step 2 - Add the spices to the pan and cook for another 1-2 minutes until fragrant.
Step 3 - Add sweet potato, tomatoes, lentils, vegetable stock and water to the pot and bring to the boil. Reduce heat and simmer, partially covered, for 20-25 minutes or until sweet potato is tender, cooked through and soup has thickened. Stir through spinach.
Step 4 - Divide the soup between 4 bowls and serve with chopped parsley, cracked pepper and grainy bread.

Source: https://www.heartfoundation.org.au/recipes/lentil-and-vegetable-soup-with-crusty-bread"
Pomegranates,,,,,Passionfruit yellow,,,,,Cauliflower,,,,,Kailan,,,,,Blueberries,,,,,"Total time: 1 hour, Serves: 4

Roasted curried cauliflower
Ingredients:
1 head of cauliflower florets only
1/4 cup olive oil or melted coconut oil
1 tsp lemon zest
1/2 tsp turmeric powder
1/2 tsp cayenne pepper optional: please adjust to your taste, I like mine fairly spicy
1 tbsp curry powder
2 cloves garlic minced
Salt and pepper to taste
Chopped cilantro for garnishing
Spritz of lemon juice to serve

Instructions:
Preheat oven to 200C.
Line baking tray with parchment paper.
Mix all the spices in with the oil in a small bowl.
Place florets in a large mixing bowl.
Drizzle in the oil mixture over the cauliflower.
Use a spoon or spatula to coat florets well with the seasoning.
Spread out cauliflower on parchment lined tray in a single layer without overlapping.
Bake in the middle slot of the oven for 30-40 mins at 200C.
Garnish with chopped cilantro, and a little spritz of lemon juice.

Source: https://delishar.com/2014/10/roasted-curried-cauliflower.html"
Grapefruit,,,,,Yellow Tomatoes,,,,,White Peaches,,,,,Japanese Green,,,,,Blackberries,,,,,"Total time: 40 mins, Serves 2-3

Charred brussels sprouts with grapefruit and yuba
Ingredients:
2 tbsp oil
350g brussels sprouts, bases trimmed, halved
1/2 tsp salt
40g dried tofu sticks
Oil, as needed for deep-frying
3 tbsp Kewpie mayonnaise
3/4 tbsp Japanese rice vinegar
1 1/2 tbsp soy sauce
3/4 tsp sugar
45g Japanese pickled ginger, chopped
1 1/2 tsp sesame oil
1 large grapefruit
A handful of nori strips

Instructions:
350g brussels sprouts, bases trimmed, halved
1/2 tsp salt
40g dried tofu sticks
Oil, as needed for deep-frying
3 tbsp Kewpie mayonnaise
3/4 tbsp Japanese rice vinegar
1 1/2 tbsp soy sauce
3/4 tsp sugar
45g Japanese pickled ginger, chopped
1 1/2 tsp sesame oil
1 large grapefruit
A handful of nori strips

For the brussels sprouts, preheat the oven to 445°F/230°C. Meanwhile, in an ovenproof pan, preferably made of cast-iron, toss together 2 tbsp oil, 350g brussels sprouts (bases trimmed, halved) and 1/2 tsp salt.

Place the brussels sprouts cut side down in the pan and set the pan on high heat for a few minutes, or until the cut sides of the brussels sprouts turn light golden. Transfer the pan to the oven and roast for 10 to 15 minutes, or until the brussels sprouts are tender and charred.

For the tofu sticks, on high heat for 5 to 10 minutes, steam 40g dried tofu sticks.

Once the tofu sticks have softened up nicely, remove them from the steamer and snip them into 2-inch/5cm lengths with a pair of scissors.

To a sauce pan set on high heat, add oil (as needed for deep-frying). When the oil heats up to 300°F/150°C, add the tofu sticks. Cook for about a minute, turning occasionally until they puff and blister. They should hardly develop any colour. If the oil is too hot, the tofu sticks will brown too quickly and blisters will not form. Remove the fried tofu from the pan and transfer them to a paper towel-lined dish to drain.

For the dressing, in a small bowl, mix together 3 tbsp Kewpie mayonnaise, 3/4 tbsp Japanese rice vinegar, 1 1/2 tbsp soy sauce, 3/4 tsp sugar, 45g Japanese pickled ginger (chopped) and 1 1/2 tsp sesame oil.

To serve, with a knife, remove the skin and pith of 1 large grapefruit. Peel and cut the grapefruit into segments, then cut each segment into thirds crosswise. Place the grapefruit in a serving bowl or platter and toss with the brussels sprouts and tofu sticks.

