Red,Yellow & Orange,"White, Tan & Brown",Green,Blue & Purple,Recipes
Grapefruit,Yellow Tomatoes,White Peaches,Japanese Green,Blackberries,"Total time: 40 mins, Serves 2-3

Charred brussels sprouts with grapefruit and yuba
Ingredients:
2 tbsp oil
350g brussels sprouts, bases trimmed, halved
1/2 tsp salt
40g dried tofu sticks
Oil, as needed for deep-frying
3 tbsp Kewpie mayonnaise
3/4 tbsp Japanese rice vinegar
1 1/2 tbsp soy sauce
3/4 tsp sugar
45g Japanese pickled ginger, chopped
1 1/2 tsp sesame oil
1 large grapefruit
A handful of nori strips

Instructions:
350g brussels sprouts, bases trimmed, halved
1/2 tsp salt
40g dried tofu sticks
Oil, as needed for deep-frying
3 tbsp Kewpie mayonnaise
3/4 tbsp Japanese rice vinegar
1 1/2 tbsp soy sauce
3/4 tsp sugar
45g Japanese pickled ginger, chopped
1 1/2 tsp sesame oil
1 large grapefruit
A handful of nori strips

For the brussels sprouts, preheat the oven to 445Â°F/230Â°C. Meanwhile, in an ovenproof pan, preferably made of cast-iron, toss together 2 tbsp oil, 350g brussels sprouts (bases trimmed, halved) and 1/2 tsp salt.

Place the brussels sprouts cut side down in the pan and set the pan on high heat for a few minutes, or until the cut sides of the brussels sprouts turn light golden. Transfer the pan to the oven and roast for 10 to 15 minutes, or until the brussels sprouts are tender and charred.

For the tofu sticks, on high heat for 5 to 10 minutes, steam 40g dried tofu sticks.

Once the tofu sticks have softened up nicely, remove them from the steamer and snip them into 2-inch/5cm lengths with a pair of scissors.

To a sauce pan set on high heat, add oil (as needed for deep-frying). When the oil heats up to 300Â°F/150Â°C, add the tofu sticks. Cook for about a minute, turning occasionally until they puff and blister. They should hardly develop any colour. If the oil is too hot, the tofu sticks will brown too quickly and blisters will not form. Remove the fried tofu from the pan and transfer them to a paper towel-lined dish to drain.

For the dressing, in a small bowl, mix together 3 tbsp Kewpie mayonnaise, 3/4 tbsp Japanese rice vinegar, 1 1/2 tbsp soy sauce, 3/4 tsp sugar, 45g Japanese pickled ginger (chopped) and 1 1/2 tsp sesame oil.

To serve, with a knife, remove the skin and pith of 1 large grapefruit. Peel and cut the grapefruit into segments, then cut each segment into thirds crosswise. Place the grapefruit in a serving bowl or platter and toss with the brussels sprouts and tofu sticks.

Drizzle the dressing over everything and scatter over a handful of nori strips.

Source: https://sgpnoodles.substack.com/p/charred-brussels-sprouts-with-grapefruit "
Cranberries,Corn,Bananas,Xiao Bai Cai,Purple Cabbage,"Total time: 40 mins, Serves: 3-4

Gianataang Monok with Papaya
Ingredients:
750g chicken leg and thigh with the skin on
1 green papaya, peeled sliced into wedges
400g any leafy greens, I used spinach and bok choy
1 litre (2 tins) coconut milk
1 cup chicken stock
1 red bell pepper chopped
3 red chillies and 3 green birds eye chilli (depending on how spicy you want it)
1 onion chopped
6 cloves garlic minced
3 thumbs ginger julienne
Fish sauce and ground black pepper to taste
4 tablespoons cooking oil

Instructions: 
Heat the oil, with the pan on a high heat brown the chicken on both sides until the skin darkens and the fat has mostly rendered off, donâ€™t worry about cooking the chicken through, this step is just to brown the skin.
Remove and set aside.
Add the onion, garlic and ginger to the oil and chicken fat, cook on a low heat for a few minutes until lightly browned and fragrant.
Add the chicken back in along with the coconut milk, stock and chilli. Cook covered for 30 minutes on a low to medium heat.
Then add the papaya and cook for 10 minutes until it is tender.
Finish with the greens for 30 seconds until vibrant and season with fish sauce and pepper. Serve as is or with steamed rice!

Source: https://seemapankhania.wordpress.com/2020/05/20/gianataang-monok-with-papaya/"
Beets,Pumpkin,Leeks,Bok Choy,Dried Plums,"Total time: 32 mins, Serves: 2

Roasted pumpkin and leek risotto
Ingredients:
1 small pumpkin cut into 3cm cubes
1 tbsp olive oil
1 tsp dried thyme and dried sage
Save the pumpkin seeds to roast
2 leeks around 220g
2 tbsp of butter vegan or dairy
3 large cloves garlic minced
1 tsp chopped fresh thyme
120 g arborio rice
250 ml white wine
900 ml vegetable stock we use boiling water and stock cube
Generous pinch of salt and pepper to season
1/2 lemon squeezed
fresh parsley

Instructions: 
Preheat the oven to 200Â°C
Chop the pumpkin, toss in the oil and herbs then roast on a tray for 40 minutes, turn over after around 30 minutes
Prep the ingredients for the risotto, then add the leeks to a large pot with the butter and sweat down for around 5 minutes
Add the minced garlic, continue to fry for two minutes before adding the arborio rice, fresh chopped thyme and toss until coated
Add the white wine and allow the rice to absorb, followed by adding a ladle full of the vegetable stock at a time until each bit has been absorbed by the rice, season generously with salt and pepper
For the final ten minutes of baking, add the pumpkin seeds to the tray of pumpkin and allow to roast
Once the rice has fully absorbed the stock add the roasted squash to the pot, squeeze in 1/2 lemon juice, season again to taste and serve up. Top with the toasted pumpkin seeds and chopped walnuts

Source: https://lucyandlentils.co.uk/recipe/roasted-pumpkin-and-leek-risotto"
Cherries,Yellow Peppers,Turnips,Xiao Bai Chye,Purple Figs,"Total time: 30 mins , Serves: 4-5

Turnip Chayote Curry
Ingredients: 
Turnip - 1 - small - cubed
Chayote - cubed - 1 cup
Cabbage - chopped - 1 cup
Onion - 1/2 cup - chopped
Tomato - 1 - chopped
Garlic paste - 1/2 tbsp
Turmeric powder - a pinch
Chilli powder - 1/2 tsp
Coriander powder - 1 tsp
Cumin seeds - 1/2 tsp
Mustard seeds - 1/2 tsp
Oil - 2 tsp
Salt - to taste

Instructions:
Heat oil and add mustard seeds and cumin seeds. When the mustard seeds pop, add the onion and saute until translucent. Add the garlic paste and tomato. When the tomato becomes mushy, reduce the heat and add the turmeric powder, chilli powder and coriander powder. Fry until the oil starts leaving the sides of the pan. Now add salt and the cut vegetables. Fry for 4 to 5 mins and add 3 cups of water. Cover and cook until the vegetables are done and soft, about 15 mins. Now check for seasoning and cook open until the desired thickness is arrived. Serve hot with roti/chapathi/bread.

Source: https://krithiskitchen.blogspot.com/2011/02/turnip-chayote-curry.html"
Red Grapes,Butternut Squash,White Potatoes,French beans,Black Olives,"Total time: 30 mins, Serves: 4

Sauteed Green Beans with Black Olives
Ingredients: 
1 large bunch fresh green beans trimmed and cleaned
1/4 cup black olives pitted and sliced
1 large spring onion finely slices cross ways
1 tablespoon olive oil
2 garlic cloves crushed
Sea salt to taste

Instructions:
Blanch the beans and then steam for about 5 minutes. Remove from heat.
Heat a large skillet and add olive oil, garlic and spring onion. Cook for about 5 minutes or until browned an slightly softened. Add the beans and reduce heat to medium. Cook for about 7-8 minutes or until the beans have reached a tenderness that you like. Add black olives and give a quick stir. Remove from heat and serve. Simple and delicious!

Source: https://juliascuisine.com/sauteed-green-beans-with-black-olives/"
Red Pears,Yellow Watermelon,Green Apples,Green Cabbage,Purple Cabbage,"Total time: 25 mins, Serves 4

Cabbage and glass noodles
Ingredients:
1 package mung bean vermicelli
(50g/1.75oz)
1 pound green cabbage (preferably Taiwanese cabbage; about 1/2 of a small to medium cabbage)
2 eggs
1/4 teaspoon salt
1/2 teaspoon sesame oil
1 tablespoon shaoxing wine (plus 1 teaspoon)
3 tablespoons vegetable oil
3-5 dried red chilis (break them open if you want more heat)
2 cloves garlic (chopped)
1 scallion (chopped)
1 teaspoon oyster sauce (or vegetarian oyster sauce)
1/2 teaspoon sugar
1 tablespoon soy sauce
1/8 teaspoon white pepper

Instructions:
Soak the mung bean vermicelli noodles for about 10 minutes until soft. Cut the bundle in half to shorten the noodle lengths, and set them aside (still in the soaking water). Prep the cabbage by slicing it into 1/2-inch thick strips.
Beat the eggs along with the salt, sesame oil and 1 teaspoon Shaoxing wine. Heat a wok over high heat until lightly smoking. Add 1 tablespoon oil, and the eggs quickly after. Scramble them for 20-30 seconds, until theyâ€™re just almost done (they can still be a bit runny). Take the eggs out of the wok and set aside.
Heat the 2 remaining tablespoons of oil in the wok over medium-high heat. Add the chili, garlic, and scallion. Cook for 30 seconds, until fragrant. Before the peppers and garlic start to turn brown, add the cabbage, and increase the heat to high. Stir-fry for 2 minutes, until the cabbage is wilted.
Pull the noodles out of the soaking water, and add them to the cabbage. Then add the cooked egg and the 1 remaining tablespoon of shaoxing wine. Stir-fry, then add the oyster sauce, soy sauce, sugar, and white pepper. Stir everything together and continue to stir-fry for another 2 minutes or so, until the noodles are tender (add a splash of water if the noodles look dry). Plate and serve!

Source: https://thewoksoflife.com/cabbage-and-glass-noodle-stir-fry/"
Raspberries,Pineapples,White Nectarines,Pea sprouts,Eggplant,"Total time: 15 mins, Serves: 2

Eggplant with garlic sauce
Ingredients: 
For the eggplant
400 g eggplant(aubergine) - 14oz, see note 1
Â½ teaspoon salt
For the sauce
1Â½ tablespoon black rice vinegar
1Â½ tablespoon Shaoxing rice wine - see note 2
Â½ tablespoon dark soy sauce
1 tablespoon sugar
1Â½ tablespoon cornstarch
4 tablespoon water
1 teaspoon sesame oil
For stir-frying
1Â½ tablespoon cooking oil
50 g minced meat (pork/beef/chicken) - â…“ cup, see note 3 for vegetarian options
2 tablespoon picked chili garlic sauce - see note 4 & 5 for substitutes
4 cloves garlic, minced
2 teaspoon minced ginger
2 stalks scallions, finely chopped - separate the white & green parts

Instructions: 
Prepare the eggplant
Add the salt to a pot of water. Bring it to a full boil while slicing the eggplant into batons.
Put the eggplant into the boiling water. Cover and cook for 3-4 minutes until it becomes soft (but not mushy).
Drain in a colander and press gently to remove any excess water.
Mix the sauce
In a bowl, combine all the ingredients for the sauce. Set aside.
Stir fry the dish
Pour oil into a hot wok over high heat. Stir in the minced meat. Fry until pale.
Add pickled chilli, garlic, ginger and white part of the scallions. Sizzle until fragrant.
Stir in the eggplant. Fry until itâ€™s piping hot. Pour in the sauce (stir well beforehand). Stir to coat evenly.
Turn off the heat once the sauce thickens. Sprinkle the green part of the scallions. Dish out and serve immediately.

Source: https://redhousespice.com/eggplant-with-garlic-sauce/"
Red Watermelon,Yellow Pears,Ginger,French beans,Purple Potatoes,"Total time: 30 mins, Serves: 4

Sauteed Green Beans with Black Olives
Ingredients: 
1 large bunch fresh green beans trimmed and cleaned
1/4 cup black olives pitted and sliced
1 large spring onion finely slices cross ways
1 tablespoon olive oil
2 garlic cloves crushed
Sea salt to taste

Instructions:
Blanch the beans and then steam for about 5 minutes. Remove from heat.
Heat a large skillet and add olive oil, garlic and spring onion. Cook for about 5 minutes or until browned an slightly softened. Add the beans and reduce heat to medium. Cook for about 7-8 minutes or until the beans have reached a tenderness that you like. Add black olives and give a quick stir. Remove from heat and serve. Simple and delicious!

Source: https://juliascuisine.com/sauteed-green-beans-with-black-olives/"
Red Peppers,Papayas,Guava,Bok Choy,Purple Figs,"Total time: 40 mins, Serves: 3-4

Gianataang Monok with Papaya
Ingredients:
750g chicken leg and thigh with the skin on
1 green papaya, peeled sliced into wedges
400g any leafy greens, I used spinach and bok choy
1 litre (2 tins) coconut milk
1 cup chicken stock
1 red bell pepper chopped
3 red chillies and 3 green birds eye chilli (depending on how spicy you want it)
1 onion chopped
6 cloves garlic minced
3 thumbs ginger julienne
Fish sauce and ground black pepper to taste
4 tablespoons cooking oil

Instructions: 
Heat the oil, with the pan on a high heat brown the chicken on both sides until the skin darkens and the fat has mostly rendered off, donâ€™t worry about cooking the chicken through, this step is just to brown the skin.
Remove and set aside.
Add the onion, garlic and ginger to the oil and chicken fat, cook on a low heat for a few minutes until lightly browned and fragrant.
Add the chicken back in along with the coconut milk, stock and chilli. Cook covered for 30 minutes on a low to medium heat.
Then add the papaya and cook for 10 minutes until it is tender.
Finish with the greens for 30 seconds until vibrant and season with fish sauce and pepper. Serve as is or with steamed rice!

Source: https://seemapankhania.wordpress.com/2020/05/20/gianataang-monok-with-papaya/"
Tomatoes,Nectarines,Chickpeas,Japanese Green,Black beans,"Total time: 20 mins, Serves: 4

Chickpea and Tomato Curry
Ingredients:
Chickpeas, drained, 2 cans
Tomato, chopped, 2 medium
Tomato puree, 2 tbsp
Onion, chopped, 1 medium
Ginger, minced, 1 tbsp
Curry powder, 1Â½ tbsp
Rice bran oil, 2 tbsp
Salt, To taste

Instructions: 
Heat oil in a frying pan.
Add ginger, onion and curry powder to pan. Stir frequently until onion turns golden brown.
Add in chickpeas, chopped tomatoes, tomato puree and Â½ cup of water.
Reduce heat and simmer for 10 minutes until sauce thickens.
Serve with rice or bread.

Source: https://www.myheart.org.sg/recipes/chickpea-and-tomato-curry/ 
"
Red Potatoes,Lemons,Black eye beans,Zucchini,Black lentils,"Total time: 45 mins, Serves: 4

Lentil and vegetable soup with crusty bread
Ingredients: 
Spray cooking oil
1 large red onion, finely diced
2 sticks celery, trimmed, diced
2 cloves garlic, peeled, finely diced
1 teaspoon ground turmeric
1 teaspoon ground cumin
1 medium sweet potato, peeled, cut into small cubes
4 medium sized tomatoes, roughly chopped
600 g canned no added salt brown lentils, drained, rinsed
300 ml reduced salt vegetable stock (see tips)
700 ml water
3 cups baby spinach leaves
1 tablespoon parsley, roughly chopped, to serve
4 slices crusty multigrain bread, toasted, to serve

Instructions:
Step 1 - Place a large pot over medium heat and spray with olive oil. Cook onion, celery and garlic and cook for 1-2 minutes, or until just softened.
Step 2 - Add the spices to the pan and cook for another 1-2 minutes until fragrant.
Step 3 - Add sweet potato, tomatoes, lentils, vegetable stock and water to the pot and bring to the boil. Reduce heat and simmer, partially covered, for 20-25 minutes or until sweet potato is tender, cooked through and soup has thickened. Stir through spinach.
Step 4 - Divide the soup between 4 bowls and serve with chopped parsley, cracked pepper and grainy bread.

Source: https://www.heartfoundation.org.au/recipes/lentil-and-vegetable-soup-with-crusty-bread"
Tomatoes,Grapefruit,Daikon radish,Sugar Snap Peas,Purple sweet potato,"Total time: 20 mins, Serves: 4

Chickpea and Tomato Curry
Ingredients:
Chickpeas, drained, 2 cans
Tomato, chopped, 2 medium
Tomato puree, 2 tbsp
Onion, chopped, 1 medium
Ginger, minced, 1 tbsp
Curry powder, 1Â½ tbsp
Rice bran oil, 2 tbsp
Salt, To taste

Instructions: 
Heat oil in a frying pan.
Add ginger, onion and curry powder to pan. Stir frequently until onion turns golden brown.
Add in chickpeas, chopped tomatoes, tomato puree and Â½ cup of water.
Reduce heat and simmer for 10 minutes until sauce thickens.
Serve with rice or bread.

Source: https://www.myheart.org.sg/recipes/chickpea-and-tomato-curry/ 
"
Dragonfruit red,Rockmelon,Mushrooms,Snow Peas,Black beans,"Total time: 20 mins, Serves: 4

Sugar snap pea and mushroom saute
Ingredients:
2 tablespoons vegetable oil
10 ounces cremini mushrooms, trimmed and sliced
10 ounces sugar snap peas, trimmed (about 3 cups)
3 large scallions, white and light green parts, cut into 2-inch pieces (about 1 1/2 cups)
4 cloves garlic, minced
2 tablespoons low-sodium soy sauce
Crushed red pepper for garnish, optional

Instructions:
Warm oil in a large skillet over medium-high heat until shimmering. Add mushrooms, snap peas and scallions and cook, stirring constantly, until snap peas are bright green and mushrooms have released their liquid, 3 to 4 minutes. Add garlic and cook, stirring, until golden, about 30 seconds.

Add soy sauce and cook for 3 to 4 minutes more, stirring, until snap peas are crisp-tender. Sprinkle with red pepper, if desired. Serve.

Source: https://www.myrecipes.com/recipe/sugar-snap-pea-mushroom-saute"
Red beans,Apricots,Cauliflower,Peas,Blueberries,"Total time: 1 hour, Serves: 4

Roasted curried cauliflower
Ingredients:
1 head of cauliflower florets only
1/4 cup olive oil or melted coconut oil
1 tsp lemon zest
1/2 tsp turmeric powder
1/2 tsp cayenne pepper optional: please adjust to your taste, I like mine fairly spicy
1 tbsp curry powder
2 cloves garlic minced
Salt and pepper to taste
Chopped cilantro for garnishing
Spritz of lemon juice to serve

Instructions:
Preheat oven to 200C.
Line baking tray with parchment paper.
Mix all the spices in with the oil in a small bowl.
Place florets in a large mixing bowl.
Drizzle in the oil mixture over the cauliflower.
Use a spoon or spatula to coat florets well with the seasoning.
Spread out cauliflower on parchment lined tray in a single layer without overlapping.
Bake in the middle slot of the oven for 30-40 mins at 200C.
Garnish with chopped cilantro, and a little spritz of lemon juice.

Source: https://delishar.com/2014/10/roasted-curried-cauliflower.html"
Red cabbage,Dates,Leeks,Lettuce,Black grapes,"Total time: 25 mins, Serves 4

Cabbage and glass noodles
Ingredients:
1 package mung bean vermicelli
(50g/1.75oz)
1 pound green cabbage (preferably Taiwanese cabbage; about 1/2 of a small to medium cabbage)
2 eggs
1/4 teaspoon salt
1/2 teaspoon sesame oil
1 tablespoon shaoxing wine (plus 1 teaspoon)
3 tablespoons vegetable oil
3-5 dried red chilis (break them open if you want more heat)
2 cloves garlic (chopped)
1 scallion (chopped)
1 teaspoon oyster sauce (or vegetarian oyster sauce)
1/2 teaspoon sugar
1 tablespoon soy sauce
1/8 teaspoon white pepper

Instructions:
Soak the mung bean vermicelli noodles for about 10 minutes until soft. Cut the bundle in half to shorten the noodle lengths, and set them aside (still in the soaking water). Prep the cabbage by slicing it into 1/2-inch thick strips.
Beat the eggs along with the salt, sesame oil and 1 teaspoon Shaoxing wine. Heat a wok over high heat until lightly smoking. Add 1 tablespoon oil, and the eggs quickly after. Scramble them for 20-30 seconds, until theyâ€™re just almost done (they can still be a bit runny). Take the eggs out of the wok and set aside.
Heat the 2 remaining tablespoons of oil in the wok over medium-high heat. Add the chili, garlic, and scallion. Cook for 30 seconds, until fragrant. Before the peppers and garlic start to turn brown, add the cabbage, and increase the heat to high. Stir-fry for 2 minutes, until the cabbage is wilted.
Pull the noodles out of the soaking water, and add them to the cabbage. Then add the cooked egg and the 1 remaining tablespoon of shaoxing wine. Stir-fry, then add the oyster sauce, soy sauce, sugar, and white pepper. Stir everything together and continue to stir-fry for another 2 minutes or so, until the noodles are tender (add a splash of water if the noodles look dry). Plate and serve!

Source: https://thewoksoflife.com/cabbage-and-glass-noodle-stir-fry/"
Beets,Carrots,Onions,Shanghai green,Purple Figs,"Total time: 1 hour 5 minutes, Serves: 2

Savory Beetroot, Carrot and Oat Bake
Ingredients
2 cups beetroot, about 2 large beets (250 grams)
2 cups carrots, about 3 medium carrots (250 grams)
1 red onion
2 cups gluten-free rolled oats (200 grams)
1/2 cup walnuts, chopped (50 grams)
1/4 cup pumpkin seeds (40 grams)
1 tablespoon fresh thyme
1 teaspoon oregano
1 teaspoon sea salt
black pepper
2 tablespoons ground flaxseed + 6 tablespoons water
1/2 cup almond milk (120 ml)


Instructions
Preheat the oven to 400 °F (200 °C) - 350 °F fan (180 °C fan)

Grease 9""x 9"" square baking dish with some olive oil or line with baking paper.

Mix 2 tablespoons of ground flaxseed with water and set aside to thicken.

Finely slice red onion and sauté with a bit of olive oil for about 5 minutes. Take off the heat and leave to cool down.

Peel and coarsely grate beetroot and carrot and set aside.

In a large bowl whisk together oats, walnuts, pumpkin seeds, thyme, oregano, sea salt and pepper until combined.

Fold in beetroot, carrot and onion.

Whisk flax eggs with almond milk and stir into the mixture. You should have moist mix.

Spoon the mixture into a greased baking dish and smooth out the surface. Sprinkle with extra pumpkin seeds if you like and gently press them in.

Bake for about 40 min.

Enjoy warm or cold.

Source: https://nirvanacakery.com/savoury-beetroot-carrot-and-oat-bake/"
Cranberries,Persimmons,White Corn,Bittergourd,Eggplant,"Total time: 3 hours, Serves: 4-5

Corn, bittergourd and pork rib soup
Ingredients:
1.5 lbs pork spare rib â€” cut into chunks
2 ears of corns â€” cut into 8 pieces
1 small bitter melonâ€“ remove the core, cut into 2 inch length chunks
1 can reduced sodium chicken broth
10 cups water
salt to taste

Instructions:
Add 1 tsp of salt to cut bitter melon. Add a little water and use you hand to gently squeeze the melon, so it will draw out some bitter liquid. Let it sit for 10 minutes. Wash and rinse a couple of times. Drain.
Blanch ribs in boiling water for a minutes to remove impurities. Rinse and drain.
In a deep pot boil water and chicken broth over high heat. Add in blanched ribs. Cover and boil on high heat for 10 minutes. Turn down to medium heat and boil for 1 hour.
Add in corn and bitter melon. Cover and continue cooking on medium heat for another 1- 1.5 hours. Add more water if the liquid is low. Add salt to taste. If mild bitterness is preferred, remove bitter melon from the soup ahead of time once they are tender.

Source: https://khern.wordpress.com/2011/06/25/corn-bitter-melon-rib-soup-%E7%8E%89%E7%B1%B3%E8%8B%A6%E7%93%9C%E6%8E%92%E9%AA%A8%E6%B1%A4/"
Red lentils,Butternut Squash,Leeks,Watercress,Blackberries,"Total time: 32 mins, Serves: 2

Roasted pumpkin (butternut squash) and leek risotto
Ingredients:
1 small pumpkin cut into 3cm cubes
1 tbsp olive oil
1 tsp dried thyme and dried sage
Save the pumpkin seeds to roast
2 leeks around 220g
2 tbsp of butter vegan or dairy
3 large cloves garlic minced
1 tsp chopped fresh thyme
120 g arborio rice
250 ml white wine
900 ml vegetable stock we use boiling water and stock cube
Generous pinch of salt and pepper to season
1/2 lemon squeezed
fresh parsley

Instructions: 
Preheat the oven to 200Â°C
Chop the pumpkin, toss in the oil and herbs then roast on a tray for 40 minutes, turn over after around 30 minutes
Prep the ingredients for the risotto, then add the leeks to a large pot with the butter and sweat down for around 5 minutes
Add the minced garlic, continue to fry for two minutes before adding the arborio rice, fresh chopped thyme and toss until coated
Add the white wine and allow the rice to absorb, followed by adding a ladle full of the vegetable stock at a time until each bit has been absorbed by the rice, season generously with salt and pepper
For the final ten minutes of baking, add the pumpkin seeds to the tray of pumpkin and allow to roast
Once the rice has fully absorbed the stock add the roasted squash to the pot, squeeze in 1/2 lemon juice, season again to taste and serve up. Top with the toasted pumpkin seeds and chopped walnuts

Source: https://lucyandlentils.co.uk/recipe/roasted-pumpkin-and-leek-risotto"
